"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2006","3,691.87","3,648.91","3,711.52","3,462.77","","1.18%"
"06/01/2006","3,648.92","3,634.82","3,688.89","3,379.66","","0.32%"
"05/01/2006","3,637.17","3,839.24","3,897.40","3,527.05","","-5.28%"
"04/01/2006","3,839.90","3,840.27","3,892.35","3,749.71","","-0.36%"
"03/01/2006","3,853.74","3,775.23","3,881.69","3,702.04","","2.10%"
"02/01/2006","3,774.51","3,686.16","3,840.56","3,637.93","","2.25%"
"01/01/2006","3,691.41","3,578.73","3,707.63","3,515.07","","3.14%"
"12/01/2005","3,578.93","3,448.23","3,621.89","3,448.23","","3.83%"
"11/01/2005","3,447.07","3,320.21","3,493.40","3,288.07","","3.82%"
"10/01/2005","3,320.15","3,429.45","3,464.24","3,212.07","","-3.16%"
"09/01/2005","3,428.51","3,265.10","3,438.76","3,264.20","","5.05%"
"08/01/2005","3,263.78","3,326.17","3,370.84","3,196.65","","-1.89%"
"07/01/2005","3,326.51","3,179.38","3,346.56","3,079.89","","4.56%"
"06/01/2005","3,181.54","3,077.86","3,198.89","3,077.86","","3.41%"
"05/01/2005","3,076.70","2,931.97","3,096.84","2,931.97","","5.00%"
"04/01/2005","2,930.10","3,055.18","3,100.72","2,911.48","","-4.11%"
"03/01/2005","3,055.73","3,056.45","3,117.77","3,019.29","","-0.08%"
"02/01/2005","3,058.32","2,984.63","3,091.64","2,982.06","","2.47%"
"01/01/2005","2,984.59","2,952.29","2,989.61","2,914.00","","1.13%"
"12/01/2004","2,951.24","2,874.21","2,960.97","2,867.54","","2.60%"
"11/01/2004","2,876.39","2,811.15","2,932.93","2,808.03","","2.30%"
"10/01/2004","2,811.72","2,728.29","2,849.56","2,727.76","","3.13%"
"09/01/2004","2,726.30","2,676.22","2,797.87","2,676.22","","2.08%"
"08/01/2004","2,670.79","2,716.71","2,716.71","2,559.88","","-1.81%"
"07/01/2004","2,720.05","2,818.56","2,842.81","2,638.59","","-3.24%"
"06/01/2004","2,811.08","2,749.40","2,847.48","2,710.40","","2.31%"
"05/01/2004","2,747.53","2,786.50","2,830.18","2,630.21","","-1.43%"
"04/01/2004","2,787.48","2,788.83","2,919.57","2,779.19","","0.00%"
"03/01/2004","2,787.49","2,893.70","2,962.22","2,680.04","","-3.65%"
"02/01/2004","2,893.18","2,839.24","2,936.51","2,808.69","","1.90%"
"01/01/2004","2,839.13","2,797.56","2,911.43","2,773.98","","2.84%"
"12/01/2003","2,760.66","2,631.57","2,771.51","2,631.57","","4.95%"
"11/01/2003","2,630.47","2,575.90","2,673.95","2,530.64","","2.15%"
"10/01/2003","2,575.04","2,396.69","2,596.40","2,382.76","","7.48%"
"09/01/2003","2,395.87","2,557.53","2,654.30","2,374.64","","-6.29%"
"08/01/2003","2,556.71","2,516.43","2,610.28","2,414.47","","1.47%"
"07/01/2003","2,519.79","2,419.64","2,528.76","2,359.44","","4.14%"
"06/01/2003","2,419.51","2,336.72","2,536.77","2,336.72","","3.84%"
"05/01/2003","2,330.06","2,322.19","2,397.91","2,196.81","","0.25%"
"04/01/2003","2,324.23","2,040.45","2,402.16","2,033.12","","14.11%"
"03/01/2003","2,036.86","2,144.00","2,253.08","1,847.62","","-4.85%"
"02/01/2003","2,140.73","2,252.19","2,291.66","2,037.74","","-4.78%"
"01/01/2003","2,248.17","2,397.47","2,551.47","2,086.32","","-5.79%"
"12/01/2002","2,386.41","2,662.44","2,728.84","2,348.01","","-10.18%"
"11/01/2002","2,656.85","2,510.38","2,690.30","2,383.77","","5.47%"
"10/01/2002","2,518.99","2,204.71","2,600.40","2,115.32","","14.27%"
"09/01/2002","2,204.39","2,707.04","2,733.94","2,119.35","","-18.64%"
"08/01/2002","2,709.29","2,683.56","2,880.08","2,370.71","","0.87%"
